source_year,workbook_name,sheet_name,chapter,likely_table_title,topic,geography_level_candidate,is_index_sheet,likely_analytical_table,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,total_keyword_hits,source_keyword_hits,detected_years,normalized_match_title
2022,2022-Chapter-II-Health-Resources.xlsx,2.39,Health Resources,Public Health,Workforce | Activity,Unknown / National / Other,NO,YES,72,11,4,6,0,0,0,,public health
2022,2022-Chapter-II-Health-Resources.xlsx,2.40,Health Resources,Table 2-40,Workforce,Unknown / National / Other,NO,YES,19,3,4,6,0,2,0,,-
2022,2022-Chapter-II-Health-Resources.xlsx,2-41,Health Resources,Enrolled Students in health colleges for the academic year 2022-2023G.,Other,Unknown / National / Other,NO,YES,126,7,6,7,12,2,0,2022,enrolled students in health colleges for the academic year - g
2022,2022-Chapter-II-Health-Resources.xlsx,2.42,Health Resources,Graduates in health colleges for the academic year 2021-2022G.,Other,Unknown / National / Other,NO,YES,112,7,6,7,13,2,0,2021,graduates in health colleges for the academic year - g
2022,2022-Chapter-II-Health-Resources.xlsx,2.43,Health Resources,Prince Mohammad Bin Abdulaziz Hospital,Capacity,Health Region,NO,YES,107,14,4,5,5,0,0,"2021, 2022",prince mohammad bin abdulaziz hospital
2022,2022-Chapter-II-Health-Resources.xlsx,2.44,Health Resources,"Armed Forces Hospital in the military factories, Al-Kharj",Capacity,Health Region,NO,YES,45,31,4,5,21,0,0,"2021, 2022","armed forces hospital in the military factories, al-kharj"
2022,2022-Chapter-II-Health-Resources.xlsx,2-45,Health Resources,Dr. Sulaiman Al Habib Hospital for Obstetric and Gynecology,Capacity,Health Region,NO,YES,135,14,4,5,9,0,0,"2021, 2022",dr sulaiman al habib hospital for obstetric and gynecology
2022,2022-Chapter-IV-Health-Activities.xlsx,فهرس الباب الرابع,Health Activities,"Patients and Casualties Offered First Aid and Transported by Saudi Red Crescent Authority Ambulances by Administrative Region and Type of Case , 2022G.",Capacity | Activity,Health Region,YES,NO,122,38,2,3,0,1,0,,"patients and casualties offered first aid and transported by saudi red crescent authority ambulances by administrative region and type of case , g"
2022,2022-Chapter-IV-Health-Activities.xlsx,1,Health Activities,زيارات واستشارات الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية عام 2022م.,Other,Health Region,NO,YES,29,9,4,5,18,4,0,,زيارات واستشارات الرعاية الصحية الأولية بوزارة الصحة المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,2,Health Activities,زيارات مراجعي الطوارئ المرضية بمستشفيات وزارة الصحة حسب الجنس والجنسية والمنطقة الصحية عام 2022م.,Capacity | Activity,Health Region,NO,YES,26,11,5,6,18,4,0,,زيارات مراجعي الطوارئ المرضية بمستشفيات وزارة الصحة الجنس والجنسية والمنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,3,Health Activities,زيارات مراجعي الطوارئ الجراحية بمستشفيات وزارة الصحة حسب الجنس والجنسية والمنطقة الصحية عام 2022م.,Capacity | Activity,Health Region,NO,YES,26,7,5,6,18,4,0,,زيارات مراجعي الطوارئ الجراحية بمستشفيات وزارة الصحة الجنس والجنسية والمنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,4,Health Activities,زيارات مراجعي العيادات الخارجية بمستشفيات وزارة الصحة حسب الجنس والجنسية والمنطقة الصحية عام 2022م.,Capacity | Activity,Health Region,NO,YES,54,13,5,6,18,4,0,,زيارات مراجعي العيادات الخارجية بمستشفيات وزارة الصحة الجنس والجنسية والمنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,5,Health Activities,زيارات المراجعين للرعاية الصحية الأولية والعيادات الخارجية بمستشفيات وزارة الصحة حسب المنطقة الصحية عام 2022م,Capacity | Activity,Health Region,NO,YES,29,38,4,5,18,5,0,,زيارات المراجعين للرعاية الصحية الأولية والعيادات الخارجية بمستشفيات وزارة الصحة المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,6,Health Activities,زيارات المراجعين لمراكز الرعاية الصحية الأولية والعيادات الخارجية بمستشفيات وزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity | Activity,Health Region,NO,YES,48,21,6,7,18,3,0,"2021, 2022",زيارات المراجعين لمراكز الرعاية الصحية الأولية والعيادات الخارجية بمستشفيات وزارة الصحة المنطقة الصحية في الأعوام الخمسة الأخيرة
2022,2022-Chapter-IV-Health-Activities.xlsx,7,Health Activities,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2022G.",Capacity,Health Region,NO,YES,26,7,6,7,20,2,0,,"first aid centers and ambulances of the saudi red crescent authority by administrative region, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,8,Health Activities,"Patients and Casualties Offered First Aid and Transported by Saudi Red Crescent Authority Ambulances by Administrative Region and Type of Case, 2022G.",Capacity,Health Region,NO,YES,21,10,6,7,20,4,0,,"patients and casualties offered first aid and transported by saudi red crescent authority ambulances by administrative region and type of case, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,9,Health Activities,Cases Offered First Aid and Transported by Ambulances of Saudi Red Crescent Authority by Administrative Region in the last Five Years,Other,Health Region,NO,YES,32,12,5,6,20,2,0,,cases offered first aid and transported by ambulances of saudi red crescent authority by administrative region in the last five years
2022,2022-Chapter-IV-Health-Activities.xlsx,10,Health Activities,"OPD Encounters at Other Governmental Sector Hospitals and Polyclinics by Nationality, 2022G.",Capacity | Activity,Unknown / National / Other,NO,YES,76,15,10,11,1,4,0,,"opd encounters at other governmental sector hospitals and polyclinics by nationality, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,4.11,Health Activities,"Visits to Polyclinics and Hospitals of the Private Sector by Health Region and Nationality, 2021G",Capacity | Activity,Health Region,NO,YES,25,5,4,5,18,3,0,,"visits to polyclinics and hospitals of the private sector by health region and nationality, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,112020,Health Activities,"Health Services in the Private Sector by Health Region and Nationality, 2020G",Activity,Health Region,NO,YES,26,23,4,5,36,4,0,,"health services in the private sector by health region and nationality, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,11,Health Activities,"Health Services in the Private Sector by Administrative Regions, 2022G",Activity,Health Region,NO,YES,24,12,4,5,20,2,2,,"health services in the private sector by administrative regions, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,12,Health Activities,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,Population | Activity,Unknown / National / Other,NO,YES,25,9,9,10,0,2,0,,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة
2022,2022-Chapter-IV-Health-Activities.xlsx,13,Health Activities,زيارات المراجعين لعيادات السكرى بمستشفيات وزارة الصحة حسب الجنس والجنسية والمنطقة الصحية عام 2022م.,Capacity | Activity,Health Region,NO,YES,39,7,5,6,19,4,0,2022,زيارات المراجعين لعيادات السكرى بمستشفيات وزارة الصحة الجنس والجنسية والمنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,14,Health Activities,"Complications of pregnancy and child birth, MOH Hospitals, 2022G.",Capacity,Unknown / National / Other,NO,YES,27,29,4,5,0,2,0,,"complications of pregnancy and child birth, moh hospitals, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,15,Health Activities,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2022G.",Activity,Unknown / National / Other,NO,YES,20,10,5,6,0,5,1,,"outpatients and inpatients in mental health departments, moh, according to main disease groups of icd- , g"
2022,2022-Chapter-IV-Health-Activities.xlsx,16,Health Activities,زيارات المراجعين لعيادات الأسنان بوزارة الصحة حسب الجنس والجنسية والمنطقة الصحية عام 2022م,Activity,Health Region,NO,YES,32,10,4,5,18,2,2,,زيارات المراجعين لعيادات الأسنان بوزارة الصحة الجنس والجنسية والمنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,17,Health Activities,الخدمات الرئيسية للأسنان بمراكز طب الأسنان بوزارة الصحة حسب نوع الخدمة والمنطقة الصحية عام 2022م.,Workforce | Activity,Health Region,NO,YES,33,14,4,5,18,4,2,2021,الخدمات الرئيسية للأسنان بمراكز طب الأسنان بوزارة الصحة نوع الخدمة والمنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,18,Health Activities,العمليات الجراحية للفك والأسنان وحالات الخلع بوزارة الصحة حسب المنطقة الصحية عام 2022م.,Activity,Health Region,NO,YES,32,7,4,5,18,3,2,,العمليات الجراحية للفك والأسنان وحالات الخلع بوزارة الصحة المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,19,Health Activities,المنومون بمستشفيات وزارة الصحة حسب المنطقة الصحية والجنسية عام 2022م.,Capacity | Activity,Health Region,NO,YES,32,8,4,5,18,4,2,,المنومون بمستشفيات وزارة الصحة المنطقة الصحية والجنسية م
2022,2022-Chapter-IV-Health-Activities.xlsx,20,Health Activities,المرضى المنومون بمستشفيات الرعاية المديدة وأسرة الرعاية المديدة بالمستشفيات العامة بوزارة الصحة حسب المنطقة الصحية عام 2022م.,Capacity | Activity,Health Region,NO,YES,28,10,6,7,18,4,0,,المرضى المنومون بمستشفيات الرعاية المديدة وأسرة الرعاية المديدة بالمستشفيات ا ة بوزارة الصحة المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,21,Health Activities,المؤشرات المختارة عن خدمات مستشفيات وزارة الصحة (100 سرير فأكثر) حسب المنطقة الصحية عام 2022م.,Capacity,Health Region,NO,YES,28,23,5,6,18,0,2,,المؤشرات المختارة عن خدمات مستشفيات وزارة الصحة سرير فأكثر المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,22,Health Activities,بعض المؤشرات المختارة عن خدمات مستشفيات وزارة الصحة (50 سرير) حسب المنطقة الصحية عام 2022م.,Capacity,Health Region,NO,YES,28,17,5,6,18,0,2,,بعض المؤشرات المختارة عن خدمات مستشفيات وزارة الصحة سرير المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,23,Health Activities,بعض المؤشرات المختارة عن خدمات مستشفيات الصحة النفسية والرعاية المديدة والتأهيل بوزارة الصحة حسب المنطقة الصحية عام 2022م.,Capacity,Health Region,NO,YES,37,13,4,5,18,0,2,,بعض المؤشرات المختارة عن خدمات مستشفيات الصحة النفسية والرعاية المديدة والتأهيل بوزارة الصحة المنطقة الصحية م
2022,2022-Chapter-IV-Health-Activities.xlsx,24,Health Activities,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2022G",Capacity | Activity,Unknown / National / Other,NO,YES,62,14,15,16,0,4,0,,"inpatients in other governmental sector hospitals by nationality, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,4.22,Health Activities,"Inpatients of the Private Sector by Health Region and Nationality, 2021G",Other,Health Region,NO,YES,25,5,4,5,18,3,0,,"inpatients of the private sector by health region and nationality, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,25,Health Activities,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",Capacity | Activity,Unknown / National / Other,NO,YES,20,9,9,10,0,2,0,,"inpatients in health sectors hospitals, ksa in the last five years"
2022,2022-Chapter-IV-Health-Activities.xlsx,26,Health Activities,الولادات بمستشفيات وزارة الصحة حسب المنطقة الصحية ونوع الولادة عام 2022م.,Capacity,Health Region,NO,YES,31,16,6,7,18,7,0,,الولادات بمستشفيات وزارة الصحة المنطقة الصحية ونوع الولادة م
2022,2022-Chapter-IV-Health-Activities.xlsx,27,Health Activities,"Deliveries at Other Governmental Sector Hospitals by Type of Delivery, 2022G",Capacity,Unknown / National / Other,NO,YES,17,13,15,16,0,7,0,,"deliveries at other governmental sector hospitals by type of delivery, g"
2022,2022-Chapter-IV-Health-Activities.xlsx,28,Health Activities,المنطقة الصحية,Other,Health Region,NO,YES,34,7,15,16,18,4,0,,المنطقة الصحية
