workbook_name,sheet_name,sheet_state,max_row_reported,max_column_reported,rows_scanned,columns_scanned,first_non_empty_row_candidate,probable_header_row,probable_data_start_row,blank_rows_in_sample,sample_non_empty_cells,region_keyword_hits,year_keyword_hits,total_keyword_hits,source_keyword_hits,region_candidate_count,year_candidate_count,detected_years,analytical_clues
2022-Chapter-IV-Health-Activities.xlsx,fig2,visible,42,26,40,26,1,8,9,20,38,0,2,0,0,0,12,2022,year
2022-Chapter-IV-Health-Activities.xlsx,fig3,visible,46,27,40,27,1,7,8,23,32,0,2,0,0,0,12,2022,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,fig4,visible,44,26,40,26,1,5,6,21,36,0,2,0,0,0,12,2022,year
2022-Chapter-IV-Health-Activities.xlsx,fig5,visible,48,26,40,26,1,6,7,25,28,0,1,0,0,0,12,2022,"year, activity"
2022-Chapter-IV-Health-Activities.xlsx,fig6,visible,45,29,40,29,1,8,9,23,32,0,2,0,0,0,12,2022,year
2022-Chapter-IV-Health-Activities.xlsx,fig7,visible,54,26,40,26,1,8,,24,42,0,1,0,0,0,12,2022,year
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,visible,24,38,24,38,1,2,3,0,39,4,7,0,2,0,1,2021,"region, year, population, hospital, bed"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,visible,22,8,22,8,1,6,7,1,66,0,6,2,2,0,7,2021,"year, population"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,2,visible,11,9,11,9,1,4,5,1,30,0,2,0,2,0,0,,"year, population"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,3,visible,28,8,28,8,1,7,8,9,68,0,3,2,2,0,1,2021,year
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,4,visible,18,14,18,14,1,4,5,1,141,0,1,0,1,0,0,,"year, population, hospital, bed, physician, nurse"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,5,visible,32,8,32,8,1,4,5,7,158,4,1,0,0,15,0,,"region, year, population, hospital, bed"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,6,visible,32,8,32,8,1,4,5,7,180,4,1,0,1,18,1,2021,"region, year, hospital, bed, physician, nurse"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,7,visible,13,8,13,8,1,4,5,1,52,0,1,0,0,0,0,,year
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,8,visible,13,9,13,9,1,4,5,2,60,0,1,0,0,0,0,,"year, population"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,9,visible,10,10,10,10,1,4,5,4,31,0,1,0,0,0,0,,"year, population"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,10,visible,23,22,23,22,1,4,6,0,154,0,9,0,0,0,0,,"year, population, bed"
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,11,visible,21,17,21,17,1,5,6,0,169,0,2,5,2,0,0,,"year, population"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,فهرس الباب الثاني,visible,92,38,40,38,1,2,3,0,63,24,22,0,1,0,1,2021,"region, year, population, hospital, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-1,visible,17,7,17,7,1,6,7,3,52,0,4,2,0,0,1,2021,year
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-2,visible,16,29,16,29,1,6,7,5,96,0,3,2,0,0,0,,"year, population, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-3,visible,29,11,29,11,1,7,8,1,240,4,0,4,0,18,0,,"region, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4,visible,38,22,38,22,1,11,12,1,496,0,2,6,0,0,0,,"year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-5,visible,45,23,40,23,1,7,8,0,640,0,4,9,0,0,0,,"year, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-6,visible,52,20,40,20,1,4,5,14,324,5,1,1,0,18,0,,"region, year, hospital"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-7,visible,176,21,40,21,1,7,8,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 ,visible,29,19,29,19,1,12,13,0,199,0,4,18,0,0,0,,"year, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-9,visible,29,10,29,10,1,5,6,1,223,0,2,4,0,0,1,2022,"year, activity"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-10,visible,32,14,32,14,1,7,8,1,344,4,2,12,2,18,0,,"region, year, hospital, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-11,visible,30,13,30,13,1,5,6,3,283,4,1,2,0,18,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-12,visible,30,20,30,20,1,7,8,0,436,4,2,4,0,18,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-13,visible,29,19,29,19,1,5,6,3,226,4,1,3,0,18,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.14,visible,77,38,40,38,1,4,5,15,439,4,1,4,0,18,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.15,visible,29,22,29,22,1,7,8,0,333,4,1,4,0,17,0,,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.16,visible,29,9,29,9,1,7,8,0,214,4,1,6,0,17,1,2021,"region, year, hospital, bed"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.17,visible,78,19,40,19,1,14,15,11,200,0,4,18,0,0,0,,"year, hospital, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.18,visible,176,21,40,21,1,7,8,0,498,2,1,36,0,9,0,,"region, year, hospital, physician, nurse"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.19,visible,131,75,40,40,1,7,8,0,1072,2,4,14,0,8,0,,"region, year, hospital, bed, physician"
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.20,visible,31,11,31,11,1,4,5,6,159,4,1,2,0,18,0,,"region, year"
