workbook_name,sheet_name,row_number,column_number,year_candidate,cell_value
2022-Chapter-IV-Health-Activities.xlsx,fig4,17,25,2022,2022-Dec
2022-Chapter-IV-Health-Activities.xlsx,fig5,7,25,2022,2022-01
2022-Chapter-IV-Health-Activities.xlsx,fig5,8,25,2022,2022-02
2022-Chapter-IV-Health-Activities.xlsx,fig5,9,25,2022,2022-03
2022-Chapter-IV-Health-Activities.xlsx,fig5,10,25,2022,2022-04
2022-Chapter-IV-Health-Activities.xlsx,fig5,11,25,2022,2022-05
2022-Chapter-IV-Health-Activities.xlsx,fig5,12,25,2022,2022-06
2022-Chapter-IV-Health-Activities.xlsx,fig5,13,25,2022,2022-07
2022-Chapter-IV-Health-Activities.xlsx,fig5,14,25,2022,2022-08
2022-Chapter-IV-Health-Activities.xlsx,fig5,15,25,2022,2022-09
2022-Chapter-IV-Health-Activities.xlsx,fig5,16,25,2022,2022-10
2022-Chapter-IV-Health-Activities.xlsx,fig5,17,25,2022,2022-11
2022-Chapter-IV-Health-Activities.xlsx,fig5,18,25,2022,2022-12
2022-Chapter-IV-Health-Activities.xlsx,fig6,9,28,2022,2022-Jan
2022-Chapter-IV-Health-Activities.xlsx,fig6,10,28,2022,2022-Feb
2022-Chapter-IV-Health-Activities.xlsx,fig6,11,28,2022,2022-Mar
2022-Chapter-IV-Health-Activities.xlsx,fig6,12,28,2022,2022-Apr
2022-Chapter-IV-Health-Activities.xlsx,fig6,13,28,2022,2022-May
2022-Chapter-IV-Health-Activities.xlsx,fig6,14,28,2022,2022-Jun
2022-Chapter-IV-Health-Activities.xlsx,fig6,15,28,2022,2022-Jul
2022-Chapter-IV-Health-Activities.xlsx,fig6,16,28,2022,2022-Aug
2022-Chapter-IV-Health-Activities.xlsx,fig6,17,28,2022,2022-Sep
2022-Chapter-IV-Health-Activities.xlsx,fig6,18,28,2022,2022-Oct
2022-Chapter-IV-Health-Activities.xlsx,fig6,19,28,2022,2022-Nov
2022-Chapter-IV-Health-Activities.xlsx,fig6,20,28,2022,2022-Dec
2022-Chapter-IV-Health-Activities.xlsx,fig7,9,24,2022,2022-Jan
2022-Chapter-IV-Health-Activities.xlsx,fig7,10,24,2022,2022-Feb
2022-Chapter-IV-Health-Activities.xlsx,fig7,11,24,2022,2022-Mar
2022-Chapter-IV-Health-Activities.xlsx,fig7,12,24,2022,2022-Apr
2022-Chapter-IV-Health-Activities.xlsx,fig7,13,24,2022,2022-May
2022-Chapter-IV-Health-Activities.xlsx,fig7,14,24,2022,2022-Jun
2022-Chapter-IV-Health-Activities.xlsx,fig7,15,24,2022,2022-Jul
2022-Chapter-IV-Health-Activities.xlsx,fig7,16,24,2022,2022-Aug
2022-Chapter-IV-Health-Activities.xlsx,fig7,17,24,2022,2022-Sep
2022-Chapter-IV-Health-Activities.xlsx,fig7,18,24,2022,2022-Oct
2022-Chapter-IV-Health-Activities.xlsx,fig7,19,24,2022,2022-Nov
2022-Chapter-IV-Health-Activities.xlsx,fig7,20,24,2022,2022-Dec
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,13,2,2021,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021 م.
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,7,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,8,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,9,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,12,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,13,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,14,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,15,3,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,3,18,1,2021,2021
Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,6,1,1,2021,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021 م
statistical-yearbook-2021-chapter-II-health-resources.xlsx,فهرس الباب الثاني,33,2,2021,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-1,12,1,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-9,8,3,2022,2022
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.16,1,1,2021,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-41,1,1,2021,الطلبة والطالبات في الكليات الصحية للعام الدراسي 2021-2022م.
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-41,2,1,2021,Enrolled Students in health colleges for the academic year 2021-2022G.
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,15,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,16,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,17,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,27,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,29,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,32,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,8,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,9,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,10,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,11,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,12,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,13,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,15,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,16,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,17,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,20,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,21,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,27,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,28,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,29,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,36,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,5,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,6,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,7,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,8,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,9,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,10,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,11,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,12,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,13,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,14,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,37,5,2021,2021
statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-45,38,5,2021,2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,19,2,15,2021,2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,19,2,18,2021,2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,19,2,21,2021,2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,50,1,1,2021,الحالات المعروضة على مراكز الطب الشرعي بوزارة الصحة حسب المنطقة الصحية وطبيعة الفحص الطبي الشرعي لعام 2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,57,2,1,2021,"Number of MoH Hospitals Implementing Home Health Care Program, Manpower and Beneficiaries by Health Region, 2021"
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,57,4,5,2021,عدد الحالات تحت الخدمة نهاية 2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,57,4,6,2021,عدد المستفيدين التراكمي نهاية عام 2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,57,5,5,2021,Number of cases under service (end of 2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,57,5,6,2021,Cumulative number of Beneficiaries by the end of 2021
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,10,24,2021,2021-1
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,11,24,2021,2021-2
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,12,24,2021,2021-3
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,13,24,2021,2021-4
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,14,24,2021,2021-5
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,15,24,2021,2021-6
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,16,24,2021,2021-7
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,17,24,2021,2021-8
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,18,24,2021,2021-9
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,19,24,2021,2021-10
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,20,24,2021,2021-11
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,21,24,2021,2021-12
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,9,25,2021,2021-01
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,10,25,2021,2021-02
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,11,25,2021,2021-03
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,12,25,2021,2021-04
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,13,25,2021,2021-05
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,14,25,2021,2021-06
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,15,25,2021,2021-07
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,16,25,2021,2021-08
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,17,25,2021,2021-09
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,18,25,2021,2021-10
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,19,25,2021,2021-11
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,20,25,2021,2021-12
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,8,25,2021,2021-1
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,9,25,2021,2021-2
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,10,25,2021,2021-3
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,11,25,2021,2021-4
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,12,25,2021,2021-5
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,13,25,2021,2021-6
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,14,25,2021,2021-7
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,15,25,2021,2021-8
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,16,25,2021,2021-9
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,17,25,2021,2021-10
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,18,25,2021,2021-11
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,19,25,2021,2021-12
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,6,25,2021,2021-1
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,7,25,2021,2021-2
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,8,25,2021,2021-3
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,9,25,2021,2021-4
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,10,25,2021,2021-5
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,11,25,2021,2021-6
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,12,25,2021,2021-7
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,13,25,2021,2021-8
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,14,25,2021,2021-9
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,15,25,2021,2021-10
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,16,25,2021,2021-11
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig4,17,25,2021,2021-12
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig5,7,25,2021,2021-01
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig5,8,25,2021,2021-02
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig5,9,25,2021,2021-03
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig5,10,25,2021,2021-04
