comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-014,2023,Statistical-Yearbook-2023.xlsx,38,Unknown / Other,Workforce,Health Manpower at Private Sector in the last Five Years,Unknown / National / Other,78,16,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-014,2024,Statistical-Yearbook-2024.xlsx,2-39,Health Resources,Workforce,Health Manpower at Private Sector in the last Five Years,Unknown / National / Other,78,19,12,13,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-015,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,40,Health Activities,Workforce,Table 4-40,Unknown / National / Other,33,30,7,8,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-015,2022,2022-Chapter-II-Health-Resources.xlsx,2.40,Health Resources,Workforce,Table 2-40,Unknown / National / Other,19,3,4,6,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-015,2022,2022-Chapter-IV-Health-Activities.xlsx,39,Health Activities,Workforce,Table 4-39,Unknown / National / Other,22,30,7,8,0,2022,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-015,2023,Statistical-Yearbook-2023.xlsx,39.,Unknown / Other,Workforce,Table 4-39,Unknown / National / Other,22,18,7,8,0,,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-015,2024,Statistical-Yearbook-2024.xlsx,4-49,Health Activities,Workforce,Table 4-49,Unknown / National / Other,22,17,7,8,0,2024,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-016,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,Health Resources,Capacity,Prince Mohammad Bin Abdulaziz Hospital,Health Region,70,32,4,5,7,2021,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-016,2022,2022-Chapter-II-Health-Resources.xlsx,2.43,Health Resources,Capacity,Prince Mohammad Bin Abdulaziz Hospital,Health Region,107,14,4,5,5,"2021, 2022",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-016,2023,Statistical-Yearbook-2023.xlsx,51,Unknown / Other,Capacity,Prince Mohammad Bin Abdulaziz Hospital,Health Region,153,10,4,5,2,"2021, 2022, 2023",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-016,2024,Statistical-Yearbook-2024.xlsx,2-58,Health Resources,Capacity,Prince Mohammad Bin Abdulaziz Hospital,Unknown / National / Other,185,6,4,5,3,"2021, 2022, 2023, 2024",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-017,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,Health Resources,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",Health Region,43,32,4,5,23,2021,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-017,2022,2022-Chapter-II-Health-Resources.xlsx,2.44,Health Resources,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",Health Region,45,31,4,5,21,"2021, 2022",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-017,2023,Statistical-Yearbook-2023.xlsx,52,Unknown / Other,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",Health Region,44,31,4,5,22,"2021, 2022, 2023, 2024",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-017,2024,Statistical-Yearbook-2024.xlsx,2-59,Health Resources,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",Unknown / National / Other,42,6,4,5,27,"2021, 2022, 2023, 2024",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
