year_a,workbook_a,sheet_a,title_a,year_b,workbook_b,sheet_b,title_b,topic,similarity_score,manual_validation_required
2022,2022-Chapter-II-Health-Resources.xlsx,2.20,مراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,2023,Statistical-Yearbook-2023.xlsx,25,مراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.21,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21,"Health Manpower in Primary Health Care Centers, MOH, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.21,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",2023,Statistical-Yearbook-2023.xlsx,26,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.21,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",2024,Statistical-Yearbook-2024.xlsx,2-42,"Health Manpower in Primary Health Care Centers, MoH, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.22,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.22,"Physicians and Dentists in MOH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.22,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",2023,Statistical-Yearbook-2023.xlsx,27,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.22,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",2024,Statistical-Yearbook-2024.xlsx,2-43,"Physicians and Dentists in MoH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.23,القوى العاملة الصحية بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.23,القوى العاملة الصحية بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2021م,Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.23,القوى العاملة الصحية بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,2023,Statistical-Yearbook-2023.xlsx,28,القوى العاملة الصحية بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2023م,Capacity | Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2.24,الأطباء بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب التخصصات الرئيسية والجنسية والجنس والمنطقة الصحية عام 2022م.,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.24,الأطباء بمراكز الرعاية الصحية الأولية بوزارة الصحة حسب التخصصات الرئيسية والجنسية والجنس والمنطقة الصحية عام 2021م.,Capacity | Workforce,1.0,YES
