source_value,occurrence_count,original_candidate_level,proposed_geography_type,canonical_health_region,canonical_health_cluster,parent_health_region,valid_from_year,valid_to_year,mapping_status,mapping_note
All governorates of Madinah region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
All governorates of Northern Borders region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
All governorates of Qassim region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
All governorates of Tabuk region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
All governorates of the Eastern region except Al-Ahsa and Hafar Al-Batin,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Baha FTSA,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Eastern Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Eastern*,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Hail FTU,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Jazan FTSA,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Jouf,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Jouf FTU,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
KFMC RIYADH,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
KKESH RIYADH,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
"Makkah (Emirate headquarters) and the governorates of Al-Jumum, Khulais, Al-Kamil and Bahra",1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Makkah FTSA,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Asir Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
