comparison_group_id,source_year,topic,workbook_name,sheet_name,grain_candidate,geography_candidate,units_candidate,confirmed_grain,confirmed_key_columns,confirmed_measure_columns,manual_status
FY-018,2024,Capacity,Statistical-Yearbook-2024.xlsx,4-8,Year × Health Region × Facility / Capacity Measure,HEALTH_REGION,COUNT,,,,PENDING
FY-020,2021,Population | Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12,Year × National / Other Geography × Activity Type × Population Measure,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-020,2022,Population | Activity,2022-Chapter-IV-Health-Activities.xlsx,12,Year × National / Other Geography × Activity Type × Population Measure,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-020,2023,Population | Activity,Statistical-Yearbook-2023.xlsx,12..,Year × National / Other Geography × Activity Type × Population Measure,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-020,2024,Population | Activity,Statistical-Yearbook-2024.xlsx,4-15,Year × National / Other Geography × Activity Type × Population Measure,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-021,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,15,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-021,2022,Activity,2022-Chapter-IV-Health-Activities.xlsx,15,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-021,2023,Activity,Statistical-Yearbook-2023.xlsx,15..,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-021,2024,Activity,Statistical-Yearbook-2024.xlsx,4-18,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,RATE,,,,PENDING
FY-022,2021,Capacity | Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,25,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-022,2022,Capacity | Activity,2022-Chapter-IV-Health-Activities.xlsx,24,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-022,2023,Capacity | Activity,Statistical-Yearbook-2023.xlsx,24.,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-022,2024,Capacity | Activity,Statistical-Yearbook-2024.xlsx,4-27,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-023,2021,Capacity | Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-023,2022,Capacity | Activity,2022-Chapter-IV-Health-Activities.xlsx,25,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-023,2023,Capacity | Activity,Statistical-Yearbook-2023.xlsx,25.,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-023,2024,Capacity | Activity,Statistical-Yearbook-2024.xlsx,4-31,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-024,2021,Capacity | Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,31,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-024,2022,Capacity | Activity,2022-Chapter-IV-Health-Activities.xlsx,30,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-024,2023,Capacity | Activity,Statistical-Yearbook-2023.xlsx,30.,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-024,2024,Capacity | Activity,Statistical-Yearbook-2024.xlsx,4-37,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-025,2021,Capacity | Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,32,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-025,2022,Capacity | Activity,2022-Chapter-IV-Health-Activities.xlsx,31,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-025,2023,Capacity | Activity,Statistical-Yearbook-2023.xlsx,31.,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-025,2024,Capacity | Activity,Statistical-Yearbook-2024.xlsx,4-39,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-026,2021,Capacity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,34,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-026,2022,Capacity,2022-Chapter-IV-Health-Activities.xlsx,33,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-026,2023,Capacity,Statistical-Yearbook-2023.xlsx,33.,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-026,2024,Capacity,Statistical-Yearbook-2024.xlsx,4-41,Year × National / Other Geography × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-028,2021,Activity,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,44,Year × National / Other Geography × Activity Type,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
