comparison_group_id,source_year,workbook_name,sheet_name,topic,likely_table_title,probable_header_row,probable_data_start_row,header_non_empty_count,header_values_json,detected_geography,detected_units,total_terms_found,source_or_note_terms
FY-012,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.25,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2021G.",4,5,47,"[""الجهات الحكومية الأخرى"", ""Intemal medicine"", ""باطنية"", ""Surgery"", ""جراحة"", ""Orthopedics"", ""عظام"", ""Urology"", ""مسالك بولية"", ""Faciodental"", ""فك وأسنان"", ""OBS/GYN"", ""نساء وولادة"", ""Paediatrics"", ""أطفال"", ""Intensive care"", ""عناية مركزة وانعاش"", ""E.N.T"", ""أنف وأذن وحنجرة"", ""Ophthalmology"", ""عيون"", ""Chest & Fever"", ""صدرية وحميات"", ""Skin & venereal"", ""جلدية وتناسلية"", ""Burns & plastic"", ""حروق وتجميل"", ""Psychiatry & neurology"", ""نفسية وعصبية"", ""Isolation"", ""عزل"", ""Others"", ""اخرى"", ""Total"", ""المجموع"", ""Other Governmental Sector"", ""باطنية"", ""جراحة"", ""عظام"", ""مسالك بولية"", ""فك وأسنان"", ""نساء وولادة"", ""أطفال"", ""عناية مركزة وانعاش"", ""أنف وأذن وحنجرة"", ""عيون"", ""صدرية وحميات""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-012,2022,2022-Chapter-II-Health-Resources.xlsx,2.25,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2022G.",4,5,36,"[""الجهات الحكومية الأخرى"", ""Intemal medicine"", ""باطنية"", ""Surgery"", ""جراحة"", ""Orthopedics"", ""عظام"", ""Urology"", ""مسالك بولية"", ""Faciodental"", ""فك وأسنان"", ""OBS/GYN"", ""نساء وولادة"", ""Paediatrics"", ""أطفال"", ""Intensive care"", ""عناية مركزة وانعاش"", ""E.N.T"", ""أنف وأذن وحنجرة"", ""Ophthalmology"", ""عيون"", ""Chest & Fever"", ""صدرية وحميات"", ""Skin & venereal"", ""جلدية وتناسلية"", ""Burns & plastic"", ""حروق وتجميل"", ""Psychiatry & neurology"", ""نفسية وعصبية"", ""Isolation"", ""عزل"", ""Others"", ""اخرى"", ""Total"", ""المجموع"", ""Other Governmental Sector""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-012,2023,Statistical-Yearbook-2023.xlsx,30,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2023G.",4,5,36,"[""الجهات الحكومية الأخرى"", ""Intemal medicine"", ""باطنة"", ""Surgery"", ""جراحة"", ""Orthopedics"", ""عظام"", ""Urology"", ""مسالك بولية"", ""Faciodental"", ""فك وأسنان"", ""OBS/GYN"", ""نساء وولادة"", ""Paediatrics"", ""أطفال"", ""Intensive care"", ""عناية مركزة وانعاش"", ""E.N.T"", ""أنف وأذن وحنجرة"", ""Ophthalmology"", ""عيون"", ""Chest & Fever"", ""صدرية وحميات"", ""Skin & venereal"", ""جلدية وتناسلية"", ""Burns & plastic"", ""حروق وتجميل"", ""Psychiatry & neurology"", ""نفسية وعصبية"", ""Isolation"", ""عزل"", ""Others"", ""اخرى"", ""Total"", ""المجموع"", ""Other Governmental Sector""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-012,2024,Statistical-Yearbook-2024.xlsx,2-10,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2024G.",13,14,11,"[""المجموع"", ""=SUM(B6:B12)"", ""=SUM(C6:C12)"", ""=SUM(D6:D12)"", ""=SUM(E6:E12)"", ""=SUM(F6:F12)"", ""=SUM(G6:G12)"", ""=SUM(H6:H12)"", ""=SUM(I6:I12)"", ""=SUM(J6:J12)"", ""Total""]",UNKNOWN_OR_NATIONAL,BEDS,total | المجموع,
FY-013,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.28,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-013,2022,2022-Chapter-II-Health-Resources.xlsx,2.28,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",12,13,10,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""=H6+H9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-013,2023,Statistical-Yearbook-2023.xlsx,33,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-013,2024,Statistical-Yearbook-2024.xlsx,2-38,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-014,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-33,Workforce,Health Manpower at Private Sector in the last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-014,2022,2022-Chapter-II-Health-Resources.xlsx,2-33,Workforce,Health Manpower at Private Sector in the last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-014,2023,Statistical-Yearbook-2023.xlsx,38,Workforce,Health Manpower at Private Sector in the last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-014,2024,Statistical-Yearbook-2024.xlsx,2-39,Workforce,Health Manpower at Private Sector in the last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-015,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,40,Workforce,Table 4-40,7,8,14,"[""Age group (year)"", ""No. of children"", ""Clinics"", ""Physiotherapy"", ""Occupational therapy"", ""Speach therapy"", ""Dental cl."", ""School"", ""Psychologist"", ""Orthotics"", ""Orthopedics"", ""Nursing"", ""Social services"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,source | المصدر | مصدر
FY-015,2022,2022-Chapter-II-Health-Resources.xlsx,2.40,Workforce,Table 2-40,4,6,3,"[""مسمى الدورة"", ""عدد المتدربين"", ""Course""]",UNKNOWN_OR_NATIONAL,COUNT,total | الإجمالي,
FY-015,2022,2022-Chapter-IV-Health-Activities.xlsx,39,Workforce,Table 4-39,7,8,14,"[""Age group (year)"", ""Clinics"", ""Physiotherapy"", ""Occupational therapy"", ""Speach therapy"", ""Dental clinic"", ""School"", ""Psychologist"", ""Early Intervention"", ""Orthotics"", ""Orthopedics"", ""Nursing"", ""Social services"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,source | المصدر | مصدر
FY-015,2023,Statistical-Yearbook-2023.xlsx,39.,Workforce,Table 4-39,7,8,15,"[""Age group (year)"", ""Clinics"", ""Physiotherapy"", ""Occupational therapy"", ""Speach therapy"", ""Dental clinic"", ""School"", ""Psychologist"", ""Early Intervention"", ""Orthotics"", ""Orthopedics"", ""Nursing"", ""Social services"", ""Others"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,source | المصدر | مصدر
FY-015,2024,Statistical-Yearbook-2024.xlsx,4-49,Workforce,Table 4-49,7,8,15,"[""Age group (year)"", ""Clinics"", ""Physiotherapy"", ""Occupational therapy"", ""Speach therapy"", ""Dental clinic"", ""School"", ""Psychologist"", ""Early Intervention"", ""Orthotics"", ""Orthopedics"", ""Nursing"", ""Social services"", ""Others"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,source | المصدر | مصدر
FY-016,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.43,Capacity,Prince Mohammad Bin Abdulaziz Hospital,4,5,5,"[""المنطقة الصحية"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""Health Region""]",HEALTH_REGION,,,
FY-016,2022,2022-Chapter-II-Health-Resources.xlsx,2.43,Capacity,Prince Mohammad Bin Abdulaziz Hospital,4,5,5,"[""المنطقة الصحية"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""Health Region""]",HEALTH_REGION,,,
FY-016,2023,Statistical-Yearbook-2023.xlsx,51,Capacity,Prince Mohammad Bin Abdulaziz Hospital,4,5,5,"[""المنطقة الصحية"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""Health Region""]",HEALTH_REGION,,,
FY-016,2024,Statistical-Yearbook-2024.xlsx,2-58,Capacity,Prince Mohammad Bin Abdulaziz Hospital,4,5,5,"[""فروع/مكاتب الوزارة"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""MoH Branches & Offices""]",UNKNOWN_OR_NATIONAL,,,
FY-017,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.44,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",4,5,5,"[""المنطقة الصحية"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""Health Region""]",HEALTH_REGION,,,
FY-017,2022,2022-Chapter-II-Health-Resources.xlsx,2.44,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",4,5,5,"[""المنطقة الصحية"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""Health Region""]",HEALTH_REGION,,,
FY-017,2023,Statistical-Yearbook-2023.xlsx,52,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",4,5,5,"[""المنطقة الصحية"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""Health Region""]",HEALTH_REGION,,,
FY-017,2024,Statistical-Yearbook-2024.xlsx,2-59,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",4,5,5,"[""فروع/مكاتب الوزارة"", ""المستشفى"", ""Hospital Name"", ""تاريخ الاعتماد Date of Accriditation"", ""MoH Branches & Offices""]",UNKNOWN_OR_NATIONAL,,,
FY-018,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2021G.",6,7,5,"[""Cases offered first aid, Transported to hospitals"", ""عدد المراكز"", ""متوسط عدد الحالات للمركز"", ""عدد السيارت"", ""متوسط عدد الحالات للسيارة""]",HEALTH_REGION,COUNT,total | المجموع,
FY-018,2022,2022-Chapter-IV-Health-Activities.xlsx,7,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2022G.",6,7,5,"[""Cases offered first aid, Transported to hospitals"", ""عدد المراكز"", ""متوسط عدد الحالات للمركز"", ""عدد السيارت"", ""متوسط عدد الحالات للسيارة""]",HEALTH_REGION,COUNT,total | المجموع,
