Year,GeographyType,Geography,Sector,CapacityMeasure,Value,Unit,SourceGroup,SourceWorkbook,SourceSheet
2023,National,Saudi Arabia,Ministry of Health,Hospitals,290,Count,FY-005,Statistical-Yearbook-2023.xlsx,2.
2023,National,Saudi Arabia,Other Governmental Sector,Beds,14570,Count,FY-005,Statistical-Yearbook-2023.xlsx,2.
2023,National,Saudi Arabia,Other Governmental Sector,Hospitals,59,Count,FY-005,Statistical-Yearbook-2023.xlsx,2.
2023,National,Saudi Arabia,Private Sector,Beds,18197,Count,FY-005,Statistical-Yearbook-2023.xlsx,2.
2023,National,Saudi Arabia,Private Sector,Hospitals,150,Count,FY-005,Statistical-Yearbook-2023.xlsx,2.
2024,Administrative Region,Al Baha,Saudi Red Crescent Authority,Ambulances,34,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Al Baha,Saudi Red Crescent Authority,First Aid Centers,16,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Al Jouf,Saudi Red Crescent Authority,Ambulances,30,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Al Jouf,Saudi Red Crescent Authority,First Aid Centers,14,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Asir,Saudi Red Crescent Authority,Ambulances,97,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Asir,Saudi Red Crescent Authority,First Aid Centers,41,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Eastern Region,Saudi Red Crescent Authority,Ambulances,142,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Eastern Region,Saudi Red Crescent Authority,First Aid Centers,67,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Hail,Saudi Red Crescent Authority,Ambulances,32,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Hail,Saudi Red Crescent Authority,First Aid Centers,17,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Jazan,Saudi Red Crescent Authority,Ambulances,49,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Jazan,Saudi Red Crescent Authority,First Aid Centers,24,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Madinah,Saudi Red Crescent Authority,Ambulances,79,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Madinah,Saudi Red Crescent Authority,First Aid Centers,39,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Makkah,Saudi Red Crescent Authority,Ambulances,245,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Makkah,Saudi Red Crescent Authority,First Aid Centers,98,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Najran,Saudi Red Crescent Authority,Ambulances,39,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Najran,Saudi Red Crescent Authority,First Aid Centers,17,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Northern Borders,Saudi Red Crescent Authority,Ambulances,32,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Northern Borders,Saudi Red Crescent Authority,First Aid Centers,15,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Qassim,Saudi Red Crescent Authority,Ambulances,72,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Qassim,Saudi Red Crescent Authority,First Aid Centers,30,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Riyadh,Saudi Red Crescent Authority,Ambulances,142,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Riyadh,Saudi Red Crescent Authority,First Aid Centers,112,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Tabuk,Saudi Red Crescent Authority,Ambulances,59,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,Administrative Region,Tabuk,Saudi Red Crescent Authority,First Aid Centers,26,Count,FY-018,Statistical-Yearbook-2024.xlsx,4-8
2024,National,Saudi Arabia,All Sectors,"Beds per 10,000 population",23.433525173171432,"Beds per 10,000 population",FY-005,Statistical-Yearbook-2024.xlsx,2-2
2024,National,Saudi Arabia,Ministry of Health,Beds,46905,Count,FY-005,Statistical-Yearbook-2024.xlsx,2-2
2024,National,Saudi Arabia,Ministry of Health,Hospitals,290,Count,FY-005,Statistical-Yearbook-2024.xlsx,2-2
2024,National,Saudi Arabia,Other Governmental Sector,Beds,15192,Count,FY-005,Statistical-Yearbook-2024.xlsx,2-2
2024,National,Saudi Arabia,Other Governmental Sector,Hospitals,60,Count,FY-005,Statistical-Yearbook-2024.xlsx,2-2
2024,National,Saudi Arabia,Private Sector,Beds,20624,Count,FY-005,Statistical-Yearbook-2024.xlsx,2-2
2024,National,Saudi Arabia,Private Sector,Hospitals,166,Count,FY-005,Statistical-Yearbook-2024.xlsx,2-2
