workbook_name,sheet_index,sheet_name,max_row,max_column,sheet_state
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,21,18,32,10,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,22,19,86,60,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,23,20,37,16,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,24,21,11,13,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,25,22,28,30,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26,23,28,11,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,27,24,28,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,28,25,52,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,29,4.22,25,5,hidden
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,30,26,20,9,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,31,27,31,13,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,32,28,48,12,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,33,29,32,12,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,34,30,86,61,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,35,31,46,59,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,36,4-32,49,61,hidden
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,37,32ملغى,28,29,hidden
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,38,32,24,14,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,39,33,26,16,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,40,34,21,10,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,41,35,14,6,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,42,36,27,9,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,43,37,47,11,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,44,38,14,39,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,45,39,51,19,visible
statistical-yearbook-2021-chapter-IV-health-activities.xlsx,46,40,33,15,visible
